holder_name,holder_ticker,held_name,held_ticker,cusip,shares_held,market_value_usd,ownership_pct,report_date,position_type,filing_type,manager_name,contact_email
Morgan Stanley IM,MS,Chevron Corp,CVX,166764100,41327893,16729932079.95,3.9238,2025-06-30,Unchanged,13F-HR,Jennifer Thompson,jennifer.thompson@morganstan.com
Appaloosa Management,APLS,Visa Inc,V,92826C839,15771764,8592151418.27,0.2738,2024-06-30,New,13F-HR,Jennifer Jones,jennifer.jones@appaloosam.com
Appaloosa Management,APLS,Cisco Systems,CSCO,17275R102,29114428,21006499628.56,-0.9898,2025-09-30,Increased,13F-HR,Patricia Anderson,patricia.anderson@appaloosam.com
Appaloosa Management,APLS,Bank of America,BAC,060505104,29112780,20746342127.47,0.6096,2025-06-30,Decreased,13F-HR,William Martin,william.martin@appaloosam.com
BlackRock Inc,BLK,Salesforce Inc,CRM,79466L302,45538647,7037612605.83,0.6060,2024-12-31,Increased,13F-NT,Margaret Brown,margaret.brown@blackrocki.com
Fidelity Investments,FNF,Amazon.com Inc,AMZN,023135106,33789950,22163595188.65,0.5753,2025-06-30,New,13F-HR,Nancy Thomas,nancy.thomas@fidelityin.com
Goldman Sachs AM,GS,Tesla Inc,TSLA,88160R101,28017633,10623817410.42,3.3832,2024-06-30,Unchanged,13F-HR,Richard Smith,richard.smith@goldmansac.com
State Street Corp,STT,Pfizer Inc,PFE,717081103,30231567,17218990799.48,1.0523,2024-12-31,Increased,13F-NT,James Anderson,james.anderson@statestree.com
Renaissance Technologies,RNTC,Cisco Systems,CSCO,17275R102,12118514,7444353010.44,0.3327,2024-09-30,Increased,13F-HR,Mark Rodriguez,mark.rodriguez@renaissanc.com
Citadel Advisors,CDLC,Visa Inc,V,92826C839,28432327,15860855104.36,3.9014,2024-09-30,Unchanged,13F-HR,Dorothy Rodriguez,dorothy.rodriguez@citadeladv.com
Capital Group,CGBL,Exxon Mobil,XOM,30231G102,31535377,18920443871.00,0.4045,2024-09-30,Unchanged,13F-HR,Elizabeth Martin,elizabeth.martin@capitalgro.com
Two Sigma Investments,TWSM,Cisco Systems,CSCO,17275R102,44453345,27258005327.64,1.0182,2024-09-30,New,13F-HR,Daniel Thomas,daniel.thomas@twosigmain.com
Two Sigma Investments,TWSM,Johnson & Johnson,JNJ,478160104,46993834,5873868387.86,0.8417,2025-12-31,New,13F-HR,Susan Jackson,susan.jackson@twosigmain.com
Millennium Management,MLNM,NVIDIA Corp,NVDA,67066G104,37563964,16347488190.65,0.6588,2024-06-30,Unchanged,13F-NT,Elizabeth Martinez,elizabeth.martinez@millennium.com
